,year,country,Net migration,tas,pr,Arable land (%25 of land area),Population growth (annual %25),"Population, total"
172,1975-01-01,BEN,-19393.0,26.974035199999996,83.6991558,12.628591699184119,2.537149166714052,3437648.2
173,1980-01-01,BEN,-10848.0,27.855439,76.02725439999999,13.675062078751361,2.773667154228026,3932355.0
174,1985-01-01,BEN,-8723.0,28.019122600000003,84.3164918,14.1894288754878,2.960542585033328,4542227.6
175,1990-01-01,BEN,68259.0,27.607251400000003,84.849504,14.570769776516519,3.4036111486684617,5339156.2
176,1995-01-01,BEN,-2851.0,27.7700288,88.95482220000001,18.428520752039738,3.0755361129253282,6283163.8
177,2000-01-01,BEN,25005.0,27.9476612,84.37175399999998,22.667612628591677,3.019174977107812,7301727.4
178,2005-01-01,BEN,-48776.0,28.124561999999997,88.63430000000001,22.614402270308602,2.867374259970878,8459108.8
179,2010-01-01,BEN,-42268.0,28.053532,89.31154500000001,23.11694454298213,2.8024844658802066,9463112.333333334
180,1960-01-01,BTN,5000.0,11.6830864,149.957414,2.14027361642493,2.512572724951796,234836.0
181,1965-01-01,BTN,10000.0,11.2879012,146.956974,2.14027361642493,3.0667871851465867,270446.8
182,1970-01-01,BTN,10001.0,11.6732102,154.633088,2.37570371423167,3.178782572108404,317113.2
183,1975-01-01,BTN,10016.0,11.7340738,151.85968599999998,2.568328339709912,3.1571649818271736,371614.0
184,1980-01-01,BTN,797.0,11.642469199999999,147.450498,2.9321748545021538,2.6628580265241437,429043.6
185,1985-01-01,BTN,1595.0,11.7793826,163.257714,3.039188535323398,2.9097645136234016,493797.8
186,1990-01-01,BTN,-58565.0,11.6111728,154.027596,3.019293640911468,0.36878841190497597,532889.0
187,1995-01-01,BTN,143.0,12.1346912,161.642406,3.7989949748743728,1.6583620709662754,554010.4
188,2000-01-01,BTN,6171.0,12.3159258,162.479386,3.0350565800319904,2.004938649405598,615466.6
189,2005-01-01,BTN,-10971.0,12.896110799999999,150.90068000000002,3.4346880105411466,1.2001735616857478,664192.2
190,2010-01-01,BTN,300.0,9.971957666666666,140.62076666666667,2.6322462962845465,1.1238544918806301,693461.3333333334
191,1960-01-01,BOL,-20760.0,20.948087599999997,79.0920062,1.2081140958183325,1.96729195042663,3805171.6
192,1965-01-01,BOL,-23150.0,21.304612,79.03732600000001,1.33887196529124,2.069600153949124,4211365.6
193,1970-01-01,BOL,-26620.0,20.8555182,87.72495900000001,1.509831071725284,2.170073027720676,4685270.0
194,1975-01-01,BOL,-40130.0,20.5436748,96.587833,1.6968522108372561,2.2046124440220938,5230097.0
195,1980-01-01,BOL,-73670.0,20.634028400000002,104.01261600000001,1.8619034431828658,2.056955912046888,5815661.8
196,1985-01-01,BOL,-64260.0,20.9338172,88.231459,1.9108280254777061,2.090290717032898,6446569.6
197,1990-01-01,BOL,-51670.0,20.8950878,92.07267800000001,2.014215822025294,2.1042305260427177,7163371.6
198,1995-01-01,BOL,-64330.0,20.714451,85.201898,2.622726853133944,2.0120745785723075,7938578.0
199,2000-01-01,BOL,-77720.0,20.6846812,97.096867,3.0807717160528023,1.875939723976786,8743235.0
200,2005-01-01,BOL,-67700.0,20.668506400000002,90.4906208,3.803563186559586,1.7225999355425798,9558485.2
201,2010-01-01,BOL,-57620.0,20.927925666666667,87.69821666666667,4.017662081910217,1.6220219657594,10213073.333333334
202,1990-01-01,BIH,-740715.0,10.0735086,79.32995600000001,16.6015625,-2.7103290660291957,4216375.8
203,1995-01-01,BIH,-159283.0,9.777017599999999,90.4526324,17.7734375,-1.0063219883438443,3761447.2
204,2000-01-01,BIH,-6000.0,10.475964999999999,79.96315799999999,19.734375,0.11103520631549033,3758488.4
